t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wbx,wby,wbz,Fx,Fy,Fz,Tx,Ty,Tz
0,5,5,5,0,0,0,1,0,0,0,0,1,0,-0.219053289,0.000271009007,1.7088353,0.000862414854,-0.337573277,-0.000431439218
0.0166666667,4.99994189,5.00000007,5.00000189,-0.00348634137,4.3132423e-06,0.000113625222,0.99996891,1.14377766e-06,0.0078853677,-5.72196245e-07,0.000137257587,0.946273544,-6.86656842e-05,-0.199935172,-0.000137855095,1.70770039,-0.000721714735,-0.318633789,8.74347424e-05
0.0333333333,4.99983075,5.00000011,5.00000538,-0.00666840847,2.11921033e-06,0.000209187674,0.999882217,1.32967155e-06,0.01534772,-1.03546787e-06,2.22450682e-05,0.895561402,-5.64467232e-05,-0.187260731,0.000283469022,1.70921797,0.000417077703,-0.301344673,-0.000332960561
0.05,4.99966994,5.00000022,5.00001086,-0.00964875557,6.63075995e-06,0.00032890314,0.999748872,2.07577458e-06,0.0224096699,-1.93120476e-06,9.03175593e-05,0.847600907,-0.000107247702,-0.168952117,0.000545813038,1.7065834,-0.000782949825,-0.28546374,-0.000279238659
0.0666666667,4.99946431,5.00000047,5.00001764,-0.012337712,1.53176442e-05,0.000406688144,0.999576736,1.79267634e-06,0.029092074,-3.21958739e-06,-3.20050384e-05,0.802167941,-0.000157036326,-0.154139734,-0.000572244809,1.71004216,-0.00108410428,-0.270431988,-0.000656566643
0.0833333333,4.9992178,5.00000058,5.00002663,-0.0147909221,6.21008525e-06,0.000539521069,0.999372701,9.87884768e-08,0.0354147491,-5.41943512e-06,-0.000197903569,0.759127352,-0.000271227836,-0.139926589,7.07864464e-05,1.70762167,-0.000490635356,-0.255965144,-0.000749542789
0.1,4.99893417,5.0000007,5.0000372,-0.0170179229,7.33668653e-06,0.000633830745,0.999142784,-2.2083668e-06,0.0413968289,-8.63556381e-06,-0.000266909549,0.718389233,-0.000395725754,-0.128687458,0.000888822438,1.70573639,-0.000242109263,-0.24086306,5.96586704e-05
0.116666667,4.9986164,5.00000106,5.00004883,-0.0190660474,2.1482735e-05,0.000698135162,0.998892143,-4.83679514e-06,0.0470583377,-1.17863475e-05,-0.000305427295,0.680054686,-0.000389592629,-0.117748797,-0.000510922789,1.70598231,-0.000569789086,-0.229278934,0.000286690211
0.133333333,4.9982674,5.00000128,5.0000616,-0.0209400777,1.33511462e-05,0.00076635361,0.998625406,-8.23424774e-06,0.0524146742,-1.45940023e-05,-0.000399124171,0.643563808,-0.00035300417,-0.104977346,-0.00041671832,1.70663657,0.000371026692,-0.216219645,-0.000762956721
0.15,4.99789055,5.00000139,5.00007569,-0.0226108441,6.71886819e-06,0.000844984863,0.998346473,-1.10828513e-05,0.0574832173,-1.83883311e-05,-0.00032665339,0.609151386,-0.000468096858,-0.0960235155,0.000269048524,1.70670487,-0.000107026264,-0.20568882,-0.000459262376
0.166666667,4.99748823,5.00000157,5.0000911,-0.0241391058,1.10009084e-05,0.000924703211,0.99805884,-1.40328698e-05,0.0622780145,-2.28015003e-05,-0.000333941475,0.576414995,-0.000543317976,-0.0842586526,0.000518935732,1.70571661,0.000789202951,-0.19345158,3.46947009e-05
0.183333333,4.99706356,5.0000019,5.00010758,-0.0254801239,1.92600271e-05,0.000988692836,0.997765355,-1.59349302e-05,0.0668153828,-2.71066645e-05,-0.000208541552,0.545626225,-0.000522999407,-0.0756927819,-0.000523333652,1.70792824,-0.000892371494,-0.184527959,-0.000154781318
0.2,4.99661882,5.00000208,5.00012571,-0.0266848119,1.09309134e-05,0.00108788175,0.997468674,-1.89972191e-05,0.0711072583,-3.16991049e-05,-0.000344363123,0.516257682,-0.000567177712,-0.0666275938,0.00149005764,1.70559874,-5.41468842e-05,-0.173577434,0.000141267388
0.216666667,4.9961564,5.00000266,5.00014488,-0.027745223,3.46459173e-05,0.00114999547,0.997170863,-2.21368349e-05,0.0751682609,-3.61135876e-05,-0.00035426147,0.488631974,-0.000547066565,-0.0582685876,0.00163872234,1.70410917,0.000126088204,-0.16524602,-0.000705155016
0.233333333,4.99567852,5.00000367,5.00016468,-0.0286725964,6.07269934e-05,0.00118840197,0.996873858,-2.50311357e-05,0.0790095433,-4.1452376e-05,-0.000315614608,0.46233226,-0.000656037177,-0.0522547047,-0.000407271726,1.70416996,0.00038851216,-0.154991947,9.86328113e-06
0.25,4.99518678,5.00000457,5.00018514,-0.0295042559,5.42450625e-05,0.00122777588,0.996579066,-2.7403933e-05,0.0826447963,-4.67419783e-05,-0.000252664003,0.43766453,-0.00064581612,-0.0425510618,0.00110139347,1.70398758,-0.00023818655,-0.147243558,-0.000983759116
0.266666667,4.99468376,5.00000577,5.00020622,-0.030181477,7.17742841e-05,0.00126424713,0.996287847,-2.99742501e-05,0.0860843912,-5.33627341e-05,-0.000261974438,0.414229997,-0.000807590852,-0.0383003871,0.000858254141,1.70501959,0.000504122691,-0.139518491,-0.000464188494
0.283333333,4.99417057,5.00000719,5.00022817,-0.0307910466,8.5433823e-05,0.00131714339,0.996001305,-3.18152307e-05,0.0893386618,-6.05442413e-05,-0.000167782076,0.392024953,-0.000867733564,-0.0325716274,0.00200294946,1.70189335,-3.402161e-05,-0.131130821,-7.49172296e-06
0.3,4.99364875,5.00000915,5.00025017,-0.0313094402,0.000117311754,0.00132028406,0.995720221,-3.36894148e-05,0.0924188087,-6.77446007e-05,-0.000170262491,0.371154834,-0.000870967387,-0.0290172753,-0.000711157514,1.7046484,-1.33568232e-05,-0.126013434,0.000621285204
0.316666667,4.99311923,5.00001091,5.00027296,-0.0317712645,0.00010599333,0.00136727257,0.995445558,-3.56457648e-05,0.095331705,-7.41311423e-05,-0.000187720033,0.351099165,-0.000775261559,-0.0209135793,0.00063460248,1.70283807,-0.000427771284,-0.118028156,0.000508556522
0.333333333,4.99258416,5.00001285,5.00029605,-0.0321041144,0.000116093343,0.00138544886,0.995177741,-3.82192856e-05,0.0980880029,-7.99053319e-05,-0.000267026291,0.332314385,-0.000709782649,-0.0180780979,0.00127118485,1.7034856,-0.000167404259,-0.112241344,2.1905575e-05
